ID,CUBE_ID,COMBINATION_ID
10890,F_41_01_REF_FINREP_3_0,F_41_01_REF_FINREP_3_0_152262_REF
10891,F_01_02_REF_FINREP_3_0,F_01_02_REF_FINREP_3_0_11345_REF
10892,F_07_02_REF_FINREP_3_0,F_07_02_REF_FINREP_3_0_150702_REF
10893,F_04_05_REF_FINREP_3_0,F_04_05_REF_FINREP_3_0_67718_REF
10894,F_04_10_REF_FINREP_3_0,F_04_10_REF_FINREP_3_0_152080_REF
10895,F_10_00_REF_FINREP_3_0,F_10_00_REF_FINREP_3_0_150993_REF
10896,F_04_08_REF_FINREP_3_0,F_04_08_REF_FINREP_3_0_429143_REF
10897,F_11_01_REF_FINREP_3_0,F_11_01_REF_FINREP_3_0_151384_REF
10898,F_04_09_REF_FINREP_3_0,F_04_09_REF_FINREP_3_0_153070_REF
10899,F_10_00_REF_FINREP_3_0,F_10_00_REF_FINREP_3_0_151015_REF
10900,F_41_01_REF_FINREP_3_0,F_41_01_REF_FINREP_3_0_11469_REF
10901,F_07_01_REF_FINREP_3_0,F_07_01_REF_FINREP_3_0_150819_REF
10902,F_06_01_REF_FINREP_3_0,F_06_01_REF_FINREP_3_0_429371_REF
10903,F_04_09_REF_FINREP_3_0,F_04_09_REF_FINREP_3_0_153090_REF
10904,F_11_02_REF_FINREP_3_0,F_11_02_REF_FINREP_3_0_153297_REF
10905,F_20_01_REF_FINREP_3_0,F_20_01_REF_FINREP_3_0_151109_REF
10906,F_14_00_REF_FINREP_3_0,F_14_00_REF_FINREP_3_0_151749_REF
10907,F_07_01_REF_FINREP_3_0,F_07_01_REF_FINREP_3_0_441723_REF
10908,F_14_00_REF_FINREP_3_0,F_14_00_REF_FINREP_3_0_11389_REF
10909,F_04_06_REF_FINREP_3_0,F_04_06_REF_FINREP_3_0_45901_REF
10910,F_07_01_REF_FINREP_3_0,F_07_01_REF_FINREP_3_0_441676_REF
10911,F_20_01_REF_FINREP_3_0,F_20_01_REF_FINREP_3_0_46019_REF
10912,F_04_10_REF_FINREP_3_0,F_04_10_REF_FINREP_3_0_150459_REF
10913,F_04_09_REF_FINREP_3_0,F_04_09_REF_FINREP_3_0_153081_REF
10914,F_06_01_REF_FINREP_3_0,F_06_01_REF_FINREP_3_0_150888_REF
10915,F_10_00_REF_FINREP_3_0,F_10_00_REF_FINREP_3_0_152047_REF
10916,F_07_01_REF_FINREP_3_0,F_07_01_REF_FINREP_3_0_408808_REF
10917,F_07_01_REF_FINREP_3_0,F_07_01_REF_FINREP_3_0_441731_REF
