ID,CUBE_STRUCTURE_ID,CUBE_VARIABLE_CODE,VARIABLE_ID,ROLE,ORDER,SUBDOMAIN_ID,VARIABLE_SET_ID,MEMBER_ID,DIMENSION_TYPE,ATTRIBUTE_ASSOCIATED_VARIABLE,IS_FLOW,IS_MANDATORY,DESCRIPTION,IS_IMPLEMENTED,IS_IDENTIFIER
4029,F_04_04_1_REF_FINREP_3_0_cube_structure,F_04_04_1_REF_FINREP_3_0_cube_structure__INSTTTNL_SCTR,INSTTTNL_SCTR,,,,,,,,,,,,
4030,F_04_04_1_REF_FINREP_3_0_cube_structure,F_04_04_1_REF_FINREP_3_0_cube_structure__MLTLTRL_DVLPMNT_BNK_INDCTR,MLTLTRL_DVLPMNT_BNK_INDCTR,,,,,,,,,,,,
4031,F_04_04_1_REF_FINREP_3_0_cube_structure,F_04_04_1_REF_FINREP_3_0_cube_structure__PRTY_RL_TYP,PRTY_RL_TYP,,,,,,,,,,,,
4032,F_04_04_1_REF_FINREP_3_0_cube_structure,F_04_04_1_REF_FINREP_3_0_cube_structure__MN_DBTR_INDCTR,MN_DBTR_INDCTR,,,,,,,,,,,,
4033,F_04_04_1_REF_FINREP_3_0_cube_structure,F_04_04_1_REF_FINREP_3_0_cube_structure__TYP_INSTRMNT,TYP_INSTRMNT,,,,,,,,,,,,
4034,F_04_04_1_REF_FINREP_3_0_cube_structure,F_04_04_1_REF_FINREP_3_0_cube_structure__NGTBL_SCRTY_INDCTR,NGTBL_SCRTY_INDCTR,,,,,,,,,,,,
4035,F_04_04_1_REF_FINREP_3_0_cube_structure,F_04_04_1_REF_FINREP_3_0_cube_structure__IMPRMNT_STTS,IMPRMNT_STTS,,,,,,,,,,,,
4036,F_15_00_a_REF_FINREP_3_0_cube_structure,F_15_00_a_REF_FINREP_3_0_cube_structure__TRTMNT_TRNSFRRD_ASSTS_BLNC_SHT,TRTMNT_TRNSFRRD_ASSTS_BLNC_SHT,,,,,,,,,,,,
4037,F_15_00_a_REF_FINREP_3_0_cube_structure,F_15_00_a_REF_FINREP_3_0_cube_structure__TYP_INSTRMNT,TYP_INSTRMNT,,,,,,,,,,,,
4038,F_15_00_a_REF_FINREP_3_0_cube_structure,F_15_00_a_REF_FINREP_3_0_cube_structure__ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN,,,,,,,,,,,,
4039,F_15_00_a_REF_FINREP_3_0_cube_structure,F_15_00_a_REF_FINREP_3_0_cube_structure__HLD_SL_INDCTR,HLD_SL_INDCTR,,,,,,,,,,,,
4040,F_15_00_a_REF_FINREP_3_0_cube_structure,F_15_00_a_REF_FINREP_3_0_cube_structure__MSRMNT_MTHD,MSRMNT_MTHD,,,,,,,,,,,,
4041,F_15_00_a_REF_FINREP_3_0_cube_structure,F_15_00_a_REF_FINREP_3_0_cube_structure__SBJCT_IMPRMNT_INDCTR,SBJCT_IMPRMNT_INDCTR,,,,,,,,,,,,
4042,F_15_00_a_REF_FINREP_3_0_cube_structure,F_15_00_a_REF_FINREP_3_0_cube_structure__NGTBL_SCRTY_INDCTR,NGTBL_SCRTY_INDCTR,,,,,,,,,,,,
4043,F_04_03_1_REF_FINREP_3_0_cube_structure,F_04_03_1_REF_FINREP_3_0_cube_structure__GRSS_CRRYNG_AMNT,GRSS_CRRYNG_AMNT,,,,,,,,,,,,
4044,F_04_04_1_REF_FINREP_3_0_cube_structure,F_04_04_1_REF_FINREP_3_0_cube_structure__GRSS_CRRYNG_AMNT,GRSS_CRRYNG_AMNT,,,,,,,,,,,,
4045,F_18_00_c_REF_FINREP_3_0_cube_structure,F_18_00_c_REF_FINREP_3_0_cube_structure__TYP_INSTRMNT,TYP_INSTRMNT,,,,,,,,,,,,
4046,F_09_01_1_REF_FINREP_3_0_cube_structure,F_09_01_1_REF_FINREP_3_0_cube_structure__TYP_INSTRMNT,TYP_INSTRMNT,,,,,,,,,,,,
4047,F_15_00_a_REF_FINREP_3_0_cube_structure,F_15_00_a_REF_FINREP_3_0_cube_structure__CRRYNG_AMNT,CRRYNG_AMNT,,,,,,,,,,,,
4048,F_15_00_b_REF_FINREP_3_0_cube_structure,F_15_00_b_REF_FINREP_3_0_cube_structure__CRRYNG_AMNT,CRRYNG_AMNT,,,,,,,,,,,,
4049,F_15_00_b_REF_FINREP_3_0_cube_structure,F_15_00_b_REF_FINREP_3_0_cube_structure__TRTMNT_TRNSFRRD_ASSTS_BLNC_SHT,TRTMNT_TRNSFRRD_ASSTS_BLNC_SHT,,,,,,,,,,,,
4050,F_15_00_b_REF_FINREP_3_0_cube_structure,F_15_00_b_REF_FINREP_3_0_cube_structure__NGTBL_SCRTY_INDCTR,NGTBL_SCRTY_INDCTR,,,,,,,,,,,,
4051,F_15_00_b_REF_FINREP_3_0_cube_structure,F_15_00_b_REF_FINREP_3_0_cube_structure__HLD_SL_INDCTR,HLD_SL_INDCTR,,,,,,,,,,,,
4052,F_15_00_b_REF_FINREP_3_0_cube_structure,F_15_00_b_REF_FINREP_3_0_cube_structure__SBJCT_IMPRMNT_INDCTR,SBJCT_IMPRMNT_INDCTR,,,,,,,,,,,,
4053,F_04_04_1_REF_FINREP_3_0_cube_structure,F_04_04_1_REF_FINREP_3_0_cube_structure__ENTRPRS_SZ,ENTRPRS_SZ,,,,,,,,,,,,
4054,F_04_04_1_REF_FINREP_3_0_cube_structure,F_04_04_1_REF_FINREP_3_0_cube_structure__LW_CRDT_RSK_INDCTR,LW_CRDT_RSK_INDCTR,,,,,,,,,,,,
4055,F_04_03_1_REF_FINREP_3_0_cube_structure,F_04_03_1_REF_FINREP_3_0_cube_structure__LW_CRDT_RSK_INDCTR,LW_CRDT_RSK_INDCTR,,,,,,,,,,,,
4056,F_19_00_a_REF_FINREP_3_0_cube_structure,F_19_00_a_REF_FINREP_3_0_cube_structure__NN_PRFRMNG_PRR_FRBRNC_INDCTR,NN_PRFRMNG_PRR_FRBRNC_INDCTR,,,,,,,,,,,,
4057,F_19_00_d_REF_FINREP_3_0_cube_structure,F_19_00_d_REF_FINREP_3_0_cube_structure__NMNL_AMNT,NMNL_AMNT,,,,,,,,,,,,
4058,F_19_00_d_REF_FINREP_3_0_cube_structure,F_19_00_d_REF_FINREP_3_0_cube_structure__PRFRMNG_STTS,PRFRMNG_STTS,,,,,,,,,,,,
4059,F_19_00_d_REF_FINREP_3_0_cube_structure,F_19_00_d_REF_FINREP_3_0_cube_structure__DFLT_STTS,DFLT_STTS,,,,,,,,,,,,
4060,F_19_00_d_REF_FINREP_3_0_cube_structure,F_19_00_d_REF_FINREP_3_0_cube_structure__IMPRMNT_STTS,IMPRMNT_STTS,,,,,,,,,,,,
4061,F_19_00_d_REF_FINREP_3_0_cube_structure,F_19_00_d_REF_FINREP_3_0_cube_structure__PRFRMNG_STTS_RSN,PRFRMNG_STTS_RSN,,,,,,,,,,,,
4062,F_19_00_d_REF_FINREP_3_0_cube_structure,F_19_00_d_REF_FINREP_3_0_cube_structure__TYP_CLLTRL,TYP_CLLTRL,,,,,,,,,,,,
4063,F_19_00_d_REF_FINREP_3_0_cube_structure,F_19_00_d_REF_FINREP_3_0_cube_structure__NGTBL_SCRTY_INDCTR,NGTBL_SCRTY_INDCTR,,,,,,,,,,,,
4064,F_19_00_e_REF_FINREP_3_0_cube_structure,F_19_00_e_REF_FINREP_3_0_cube_structure__ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN,,,,,,,,,,,,
4065,F_19_00_e_REF_FINREP_3_0_cube_structure,F_19_00_e_REF_FINREP_3_0_cube_structure__HLD_SL_INDCTR,HLD_SL_INDCTR,,,,,,,,,,,,
4066,F_19_00_e_REF_FINREP_3_0_cube_structure,F_19_00_e_REF_FINREP_3_0_cube_structure__SBJCT_IMPRMNT_INDCTR,SBJCT_IMPRMNT_INDCTR,,,,,,,,,,,,
4067,F_19_00_e_REF_FINREP_3_0_cube_structure,F_19_00_e_REF_FINREP_3_0_cube_structure__TYP_INSTRMNT,TYP_INSTRMNT,,,,,,,,,,,,
4068,F_19_00_e_REF_FINREP_3_0_cube_structure,F_19_00_e_REF_FINREP_3_0_cube_structure__RPYMNT_RGHTS,RPYMNT_RGHTS,,,,,,,,,,,,
4069,F_19_00_e_REF_FINREP_3_0_cube_structure,F_19_00_e_REF_FINREP_3_0_cube_structure__INSTTTNL_SCTR,INSTTTNL_SCTR,,,,,,,,,,,,
4070,F_19_00_e_REF_FINREP_3_0_cube_structure,F_19_00_e_REF_FINREP_3_0_cube_structure__MLTLTRL_DVLPMNT_BNK_INDCTR,MLTLTRL_DVLPMNT_BNK_INDCTR,,,,,,,,,,,,
4071,F_19_00_e_REF_FINREP_3_0_cube_structure,F_19_00_e_REF_FINREP_3_0_cube_structure__PRTY_RL_TYP,PRTY_RL_TYP,,,,,,,,,,,,
4072,F_19_00_e_REF_FINREP_3_0_cube_structure,F_19_00_e_REF_FINREP_3_0_cube_structure__MN_DBTR_INDCTR,MN_DBTR_INDCTR,,,,,,,,,,,,
4073,F_19_00_e_REF_FINREP_3_0_cube_structure,F_19_00_e_REF_FINREP_3_0_cube_structure__PRPS,PRPS,,,,,,,,,,,,
4074,F_19_00_e_REF_FINREP_3_0_cube_structure,F_19_00_e_REF_FINREP_3_0_cube_structure__NGTBL_SCRTY_INDCTR,NGTBL_SCRTY_INDCTR,,,,,,,,,,,,
4075,F_19_00_e_REF_FINREP_3_0_cube_structure,F_19_00_e_REF_FINREP_3_0_cube_structure__TYP_CLLTRL,TYP_CLLTRL,,,,,,,,,,,,
4076,F_19_00_e_REF_FINREP_3_0_cube_structure,F_19_00_e_REF_FINREP_3_0_cube_structure__PRFRMNG_STTS,PRFRMNG_STTS,,,,,,,,,,,,
4077,F_15_00_a_REF_FINREP_3_0_cube_structure,F_15_00_a_REF_FINREP_3_0_cube_structure__AMNT_DRCGNSD_CPTL_PRPS,AMNT_DRCGNSD_CPTL_PRPS,,,,,,,,,,,,
4078,F_18_00_e_REF_FINREP_3_0_cube_structure,F_18_00_e_REF_FINREP_3_0_cube_structure__PRFRMNG_STTS,PRFRMNG_STTS,,,,,,,,,,,,
4079,F_18_00_e_REF_FINREP_3_0_cube_structure,F_18_00_e_REF_FINREP_3_0_cube_structure__DFLT_STTS,DFLT_STTS,,,,,,,,,,,,
4080,F_18_00_e_REF_FINREP_3_0_cube_structure,F_18_00_e_REF_FINREP_3_0_cube_structure__IMPRMNT_STTS,IMPRMNT_STTS,,,,,,,,,,,,
4081,F_04_03_1_REF_FINREP_3_0_cube_structure,F_04_03_1_REF_FINREP_3_0_cube_structure__CRRYNG_AMNT,CRRYNG_AMNT,,,,,,,,,,,,
4082,F_25_02_a_REF_FINREP_3_0_cube_structure,F_25_02_a_REF_FINREP_3_0_cube_structure__TYP_INSTRMNT,TYP_INSTRMNT,,,,,,,,,,,,
4083,F_04_02_1_REF_FINREP_3_0_cube_structure,F_04_02_1_REF_FINREP_3_0_cube_structure__CRRYNG_AMNT,CRRYNG_AMNT,,,,,,,,,,,,
4084,F_04_02_1_REF_FINREP_3_0_cube_structure,F_04_02_1_REF_FINREP_3_0_cube_structure__SBJCT_IMPRMNT_INDCTR,SBJCT_IMPRMNT_INDCTR,,,,,,,,,,,,
